rid,length_label,target_prompt_len,output_len,num_layers,decode_steps_total,min_decode_steps_per_layer,max_decode_steps_per_layer,mean_decode_steps_per_layer,layers_with_expected_decode_steps,unique_kv_slots_used_any_layer_union,kv_union_used_to_total_prompt_any_layer
ctx016k_req000,16k,16384,1000,61,61000,1000,1000,1000.00000000,61,16384,1.00000000
ctx016k_req001,16k,16384,1000,61,61000,1000,1000,1000.00000000,61,16384,1.00000000
ctx016k_req002,16k,16384,1000,61,61000,1000,1000,1000.00000000,61,16384,1.00000000
ctx016k_req003,16k,16384,1000,61,61000,1000,1000,1000.00000000,61,16384,1.00000000
ctx016k_req004,16k,16384,1000,61,61000,1000,1000,1000.00000000,61,16384,1.00000000
ctx016k_req005,16k,16384,1000,61,61000,1000,1000,1000.00000000,61,16384,1.00000000
ctx016k_req006,16k,16384,1000,61,61000,1000,1000,1000.00000000,61,16384,1.00000000
ctx016k_req007,16k,16384,1000,61,61000,1000,1000,1000.00000000,61,16380,0.99975586
ctx016k_req008,16k,16384,1000,61,61000,1000,1000,1000.00000000,61,16384,1.00000000
ctx016k_req009,16k,16384,1000,61,61000,1000,1000,1000.00000000,61,16384,1.00000000
ctx016k_req010,16k,16384,1000,61,61000,1000,1000,1000.00000000,61,16384,1.00000000
ctx016k_req011,16k,16384,1000,61,61000,1000,1000,1000.00000000,61,16383,0.99993896
ctx016k_req012,16k,16384,1000,61,61000,1000,1000,1000.00000000,61,16384,1.00000000
ctx016k_req013,16k,16384,1000,61,61000,1000,1000,1000.00000000,61,16384,1.00000000
ctx016k_req014,16k,16384,1000,61,61000,1000,1000,1000.00000000,61,16384,1.00000000
ctx016k_req015,16k,16384,1000,61,61000,1000,1000,1000.00000000,61,16384,1.00000000
