rid,length_label,target_prompt_len,output_len,num_layers,decode_steps_total,min_decode_steps_per_layer,max_decode_steps_per_layer,mean_decode_steps_per_layer,layers_with_expected_decode_steps,unique_kv_slots_used_any_layer_union,kv_union_used_to_total_prompt_any_layer
ctx016k_req000,16k,16384,1000,61,61000,1000,1000,1000.00000000,61,16384,1.00000000
ctx016k_req001,16k,16384,1000,61,61000,1000,1000,1000.00000000,61,16384,1.00000000
ctx016k_req002,16k,16384,1000,61,61000,1000,1000,1000.00000000,61,16384,1.00000000
ctx016k_req003,16k,16384,1000,61,61000,1000,1000,1000.00000000,61,16384,1.00000000
ctx016k_req004,16k,16384,1000,61,61000,1000,1000,1000.00000000,61,16384,1.00000000
ctx016k_req005,16k,16384,1000,61,61000,1000,1000,1000.00000000,61,16384,1.00000000
ctx016k_req006,16k,16384,1000,61,61000,1000,1000,1000.00000000,61,16384,1.00000000
ctx016k_req007,16k,16384,1000,61,61000,1000,1000,1000.00000000,61,16380,0.99975586
ctx016k_req008,16k,16384,1000,61,61000,1000,1000,1000.00000000,61,16384,1.00000000
ctx016k_req009,16k,16384,1000,61,61000,1000,1000,1000.00000000,61,16384,1.00000000
ctx016k_req010,16k,16384,1000,61,61000,1000,1000,1000.00000000,61,16384,1.00000000
ctx016k_req011,16k,16384,1000,61,61000,1000,1000,1000.00000000,61,16383,0.99993896
ctx016k_req012,16k,16384,1000,61,61000,1000,1000,1000.00000000,61,16384,1.00000000
ctx016k_req013,16k,16384,1000,61,61000,1000,1000,1000.00000000,61,16384,1.00000000
ctx016k_req014,16k,16384,1000,61,61000,1000,1000,1000.00000000,61,16384,1.00000000
ctx016k_req015,16k,16384,1000,61,61000,1000,1000,1000.00000000,61,16384,1.00000000
ctx032k_req000,32k,32768,1000,61,61000,1000,1000,1000.00000000,61,32434,0.98980713
ctx032k_req001,32k,32768,1000,61,61000,1000,1000,1000.00000000,61,32671,0.99703979
ctx032k_req002,32k,32768,1000,61,61000,1000,1000,1000.00000000,61,32657,0.99661255
ctx032k_req003,32k,32768,1000,61,61000,1000,1000,1000.00000000,61,32687,0.99752808
ctx032k_req004,32k,32768,1000,61,61000,1000,1000,1000.00000000,61,32717,0.99844360
ctx032k_req005,32k,32768,1000,61,61000,1000,1000,1000.00000000,61,32658,0.99664307
ctx032k_req006,32k,32768,1000,61,61000,1000,1000,1000.00000000,61,32640,0.99609375
ctx032k_req007,32k,32768,1000,61,61000,1000,1000,1000.00000000,61,32696,0.99780273
ctx032k_req008,32k,32768,1000,61,61000,1000,1000,1000.00000000,61,32575,0.99411011
ctx032k_req009,32k,32768,1000,61,61000,1000,1000,1000.00000000,61,32675,0.99716187
ctx032k_req010,32k,32768,1000,61,61000,1000,1000,1000.00000000,61,32576,0.99414062
ctx032k_req011,32k,32768,1000,61,61000,1000,1000,1000.00000000,61,32696,0.99780273
ctx032k_req012,32k,32768,1000,61,61000,1000,1000,1000.00000000,61,32659,0.99667358
ctx032k_req013,32k,32768,1000,61,61000,1000,1000,1000.00000000,61,32653,0.99649048
ctx032k_req014,32k,32768,1000,61,61000,1000,1000,1000.00000000,61,32665,0.99685669
ctx032k_req015,32k,32768,1000,61,61000,1000,1000,1000.00000000,61,32684,0.99743652
ctx064k_req000,64k,65536,1000,61,61000,1000,1000,1000.00000000,61,62119,0.94786072
ctx064k_req001,64k,65536,1000,61,61000,1000,1000,1000.00000000,61,62604,0.95526123
ctx064k_req002,64k,65536,1000,61,61000,1000,1000,1000.00000000,61,63335,0.96641541
ctx064k_req003,64k,65536,1000,61,61000,1000,1000,1000.00000000,61,63199,0.96434021
ctx064k_req004,64k,65536,1000,61,61000,1000,1000,1000.00000000,61,62566,0.95468140
ctx064k_req005,64k,65536,1000,61,61000,1000,1000,1000.00000000,61,61471,0.93797302
ctx064k_req006,64k,65536,1000,61,61000,1000,1000,1000.00000000,61,60789,0.92756653
ctx064k_req007,64k,65536,1000,61,61000,1000,1000,1000.00000000,61,60449,0.92237854
ctx064k_req008,64k,65536,1000,61,61000,1000,1000,1000.00000000,61,63321,0.96620178
ctx064k_req009,64k,65536,1000,61,61000,1000,1000,1000.00000000,61,62429,0.95259094
ctx064k_req010,64k,65536,1000,61,61000,1000,1000,1000.00000000,61,62933,0.96028137
ctx064k_req011,64k,65536,1000,61,61000,1000,1000,1000.00000000,61,62904,0.95983887
ctx064k_req012,64k,65536,1000,61,61000,1000,1000,1000.00000000,61,63475,0.96855164
ctx064k_req013,64k,65536,1000,61,61000,1000,1000,1000.00000000,61,62487,0.95347595
ctx064k_req014,64k,65536,1000,61,61000,1000,1000,1000.00000000,61,62710,0.95687866
ctx064k_req015,64k,65536,1000,61,61000,1000,1000,1000.00000000,61,61638,0.94052124
ctx128k_req000,128k,131072,1000,61,61000,1000,1000,1000.00000000,61,113722,0.86763000
ctx128k_req001,128k,131072,1000,61,61000,1000,1000,1000.00000000,61,117649,0.89759064
