rid,length_label,target_prompt_len,output_len,layer_id,total_prompt_kv_slots,decode_steps,unique_kv_slots_used_decode_union,kv_union_used_to_total_prompt,mean_per_decode_step_used_to_total_prompt,min_token_pos,max_token_pos
ctx016k_req000,16k,16384,1000,0,16384,1000,5546,0.33850098,0.11998083,16384,17383
ctx016k_req000,16k,16384,1000,1,16384,1000,10910,0.66589355,0.10492505,16384,17383
ctx016k_req000,16k,16384,1000,2,16384,1000,10083,0.61541748,0.09825281,16384,17383
ctx016k_req000,16k,16384,1000,3,16384,1000,6219,0.37957764,0.10896832,16384,17383
ctx016k_req000,16k,16384,1000,4,16384,1000,13890,0.84777832,0.10767133,16384,17383
ctx016k_req000,16k,16384,1000,5,16384,1000,7499,0.45770264,0.10132172,16384,17383
ctx016k_req000,16k,16384,1000,6,16384,1000,15260,0.93139648,0.10157709,16384,17383
ctx016k_req000,16k,16384,1000,7,16384,1000,14061,0.85821533,0.10088629,16384,17383
ctx016k_req000,16k,16384,1000,8,16384,1000,14314,0.87365723,0.09813007,16384,17383
ctx016k_req000,16k,16384,1000,9,16384,1000,12416,0.75781250,0.10537354,16384,17383
ctx016k_req000,16k,16384,1000,10,16384,1000,13504,0.82421875,0.10423236,16384,17383
ctx016k_req000,16k,16384,1000,11,16384,1000,15309,0.93438721,0.10581372,16384,17383
ctx016k_req000,16k,16384,1000,12,16384,1000,15016,0.91650391,0.10314484,16384,17383
ctx016k_req000,16k,16384,1000,13,16384,1000,11534,0.70397949,0.10235699,16384,17383
ctx016k_req000,16k,16384,1000,14,16384,1000,11218,0.68469238,0.10518085,16384,17383
ctx016k_req000,16k,16384,1000,15,16384,1000,12515,0.76385498,0.10736407,16384,17383
ctx016k_req000,16k,16384,1000,16,16384,1000,13156,0.80297852,0.10366919,16384,17383
ctx016k_req000,16k,16384,1000,17,16384,1000,16138,0.98498535,0.10884131,16384,17383
ctx016k_req000,16k,16384,1000,18,16384,1000,11466,0.69982910,0.10266479,16384,17383
ctx016k_req000,16k,16384,1000,19,16384,1000,13877,0.84698486,0.10645245,16384,17383
ctx016k_req000,16k,16384,1000,20,16384,1000,14825,0.90484619,0.10900146,16384,17383
ctx016k_req000,16k,16384,1000,21,16384,1000,14000,0.85449219,0.11015216,16384,17383
ctx016k_req000,16k,16384,1000,22,16384,1000,11247,0.68646240,0.10572522,16384,17383
ctx016k_req000,16k,16384,1000,23,16384,1000,11718,0.71520996,0.10673297,16384,17383
ctx016k_req000,16k,16384,1000,24,16384,1000,12549,0.76593018,0.11029449,16384,17383
ctx016k_req000,16k,16384,1000,25,16384,1000,11251,0.68670654,0.10645233,16384,17383
ctx016k_req000,16k,16384,1000,26,16384,1000,14009,0.85504150,0.11008447,16384,17383
ctx016k_req000,16k,16384,1000,27,16384,1000,13805,0.84259033,0.11164960,16384,17383
ctx016k_req000,16k,16384,1000,28,16384,1000,12791,0.78070068,0.10952667,16384,17383
ctx016k_req000,16k,16384,1000,29,16384,1000,14240,0.86914062,0.10973035,16384,17383
ctx016k_req000,16k,16384,1000,30,16384,1000,13694,0.83581543,0.10878174,16384,17383
ctx016k_req000,16k,16384,1000,31,16384,1000,12716,0.77612305,0.10892218,16384,17383
ctx016k_req000,16k,16384,1000,32,16384,1000,12810,0.78186035,0.10915399,16384,17383
ctx016k_req000,16k,16384,1000,33,16384,1000,13980,0.85327148,0.10984692,16384,17383
ctx016k_req000,16k,16384,1000,34,16384,1000,10881,0.66412354,0.10812207,16384,17383
ctx016k_req000,16k,16384,1000,35,16384,1000,12929,0.78912354,0.10937622,16384,17383
ctx016k_req000,16k,16384,1000,36,16384,1000,12891,0.78680420,0.10766217,16384,17383
ctx016k_req000,16k,16384,1000,37,16384,1000,11883,0.72528076,0.10652405,16384,17383
ctx016k_req000,16k,16384,1000,38,16384,1000,14148,0.86352539,0.10889893,16384,17383
ctx016k_req000,16k,16384,1000,39,16384,1000,14386,0.87805176,0.10873926,16384,17383
ctx016k_req000,16k,16384,1000,40,16384,1000,12997,0.79327393,0.10818829,16384,17383
ctx016k_req000,16k,16384,1000,41,16384,1000,11459,0.69940186,0.10648254,16384,17383
ctx016k_req000,16k,16384,1000,42,16384,1000,12654,0.77233887,0.10706177,16384,17383
ctx016k_req000,16k,16384,1000,43,16384,1000,13124,0.80102539,0.10956122,16384,17383
ctx016k_req000,16k,16384,1000,44,16384,1000,13232,0.80761719,0.10258795,16384,17383
ctx016k_req000,16k,16384,1000,45,16384,1000,14328,0.87451172,0.10640228,16384,17383
ctx016k_req000,16k,16384,1000,46,16384,1000,13705,0.83648682,0.10921082,16384,17383
ctx016k_req000,16k,16384,1000,47,16384,1000,10270,0.62683105,0.10518048,16384,17383
ctx016k_req000,16k,16384,1000,48,16384,1000,12569,0.76715088,0.10684406,16384,17383
ctx016k_req000,16k,16384,1000,49,16384,1000,14113,0.86138916,0.10542902,16384,17383
ctx016k_req000,16k,16384,1000,50,16384,1000,12046,0.73522949,0.10790002,16384,17383
ctx016k_req000,16k,16384,1000,51,16384,1000,13208,0.80615234,0.10641370,16384,17383
ctx016k_req000,16k,16384,1000,52,16384,1000,13413,0.81866455,0.10393976,16384,17383
ctx016k_req000,16k,16384,1000,53,16384,1000,12639,0.77142334,0.10311926,16384,17383
ctx016k_req000,16k,16384,1000,54,16384,1000,11854,0.72351074,0.10504028,16384,17383
ctx016k_req000,16k,16384,1000,55,16384,1000,14240,0.86914062,0.10706146,16384,17383
ctx016k_req000,16k,16384,1000,56,16384,1000,13634,0.83215332,0.10333405,16384,17383
ctx016k_req000,16k,16384,1000,57,16384,1000,12318,0.75183105,0.10491394,16384,17383
ctx016k_req000,16k,16384,1000,58,16384,1000,12207,0.74505615,0.10334888,16384,17383
ctx016k_req000,16k,16384,1000,59,16384,1000,13805,0.84259033,0.10665625,16384,17383
ctx016k_req000,16k,16384,1000,60,16384,1000,11032,0.67333984,0.10115900,16384,17383
ctx016k_req001,16k,16384,1000,0,16384,1000,5442,0.33215332,0.12067487,16384,17383
ctx016k_req001,16k,16384,1000,1,16384,1000,10839,0.66156006,0.10441589,16384,17383
ctx016k_req001,16k,16384,1000,2,16384,1000,9732,0.59399414,0.09781335,16384,17383
ctx016k_req001,16k,16384,1000,3,16384,1000,6194,0.37805176,0.10796515,16384,17383
ctx016k_req001,16k,16384,1000,4,16384,1000,13899,0.84832764,0.10773663,16384,17383
ctx016k_req001,16k,16384,1000,5,16384,1000,7083,0.43231201,0.10102039,16384,17383
ctx016k_req001,16k,16384,1000,6,16384,1000,15231,0.92962646,0.09964673,16384,17383
ctx016k_req001,16k,16384,1000,7,16384,1000,13629,0.83184814,0.09773560,16384,17383
ctx016k_req001,16k,16384,1000,8,16384,1000,13844,0.84497070,0.09622021,16384,17383
ctx016k_req001,16k,16384,1000,9,16384,1000,11274,0.68811035,0.10061804,16384,17383
ctx016k_req001,16k,16384,1000,10,16384,1000,13810,0.84289551,0.10284045,16384,17383
ctx016k_req001,16k,16384,1000,11,16384,1000,14914,0.91027832,0.10262512,16384,17383
ctx016k_req001,16k,16384,1000,12,16384,1000,15069,0.91973877,0.10188715,16384,17383
ctx016k_req001,16k,16384,1000,13,16384,1000,12051,0.73553467,0.09971594,16384,17383
ctx016k_req001,16k,16384,1000,14,16384,1000,10140,0.61889648,0.10299451,16384,17383
ctx016k_req001,16k,16384,1000,15,16384,1000,12129,0.74029541,0.10440698,16384,17383
ctx016k_req001,16k,16384,1000,16,16384,1000,12568,0.76708984,0.10134930,16384,17383
ctx016k_req001,16k,16384,1000,17,16384,1000,15796,0.96411133,0.10638208,16384,17383
ctx016k_req001,16k,16384,1000,18,16384,1000,11385,0.69488525,0.09966547,16384,17383
ctx016k_req001,16k,16384,1000,19,16384,1000,13690,0.83557129,0.10424622,16384,17383
ctx016k_req001,16k,16384,1000,20,16384,1000,14183,0.86566162,0.10738629,16384,17383
ctx016k_req001,16k,16384,1000,21,16384,1000,13505,0.82427979,0.10803998,16384,17383
ctx016k_req001,16k,16384,1000,22,16384,1000,10483,0.63983154,0.10439160,16384,17383
ctx016k_req001,16k,16384,1000,23,16384,1000,10572,0.64526367,0.10528516,16384,17383
ctx016k_req001,16k,16384,1000,24,16384,1000,12453,0.76007080,0.10930945,16384,17383
ctx016k_req001,16k,16384,1000,25,16384,1000,10613,0.64776611,0.10409265,16384,17383
ctx016k_req001,16k,16384,1000,26,16384,1000,13708,0.83666992,0.10881989,16384,17383
ctx016k_req001,16k,16384,1000,27,16384,1000,13633,0.83209229,0.11030939,16384,17383
ctx016k_req001,16k,16384,1000,28,16384,1000,12842,0.78381348,0.10736926,16384,17383
ctx016k_req001,16k,16384,1000,29,16384,1000,14165,0.86456299,0.10727435,16384,17383
ctx016k_req001,16k,16384,1000,30,16384,1000,13424,0.81933594,0.10630029,16384,17383
ctx016k_req001,16k,16384,1000,31,16384,1000,12457,0.76031494,0.10727051,16384,17383
ctx016k_req001,16k,16384,1000,32,16384,1000,12781,0.78009033,0.10680530,16384,17383
ctx016k_req001,16k,16384,1000,33,16384,1000,13875,0.84686279,0.10764648,16384,17383
ctx016k_req001,16k,16384,1000,34,16384,1000,10069,0.61456299,0.10608197,16384,17383
ctx016k_req001,16k,16384,1000,35,16384,1000,12832,0.78320312,0.10725629,16384,17383
ctx016k_req001,16k,16384,1000,36,16384,1000,12793,0.78082275,0.10447052,16384,17383
ctx016k_req001,16k,16384,1000,37,16384,1000,11373,0.69415283,0.10409546,16384,17383
ctx016k_req001,16k,16384,1000,38,16384,1000,13957,0.85186768,0.10709790,16384,17383
ctx016k_req001,16k,16384,1000,39,16384,1000,14551,0.88812256,0.10654254,16384,17383
ctx016k_req001,16k,16384,1000,40,16384,1000,12895,0.78704834,0.10612061,16384,17383
ctx016k_req001,16k,16384,1000,41,16384,1000,11206,0.68395996,0.10549103,16384,17383
ctx016k_req001,16k,16384,1000,42,16384,1000,11975,0.73089600,0.10518463,16384,17383
ctx016k_req001,16k,16384,1000,43,16384,1000,13431,0.81976318,0.10860297,16384,17383
ctx016k_req001,16k,16384,1000,44,16384,1000,12933,0.78936768,0.10096375,16384,17383
ctx016k_req001,16k,16384,1000,45,16384,1000,14311,0.87347412,0.10453973,16384,17383
ctx016k_req001,16k,16384,1000,46,16384,1000,13301,0.81182861,0.10784711,16384,17383
ctx016k_req001,16k,16384,1000,47,16384,1000,9847,0.60101318,0.10475940,16384,17383
ctx016k_req001,16k,16384,1000,48,16384,1000,11834,0.72229004,0.10633069,16384,17383
ctx016k_req001,16k,16384,1000,49,16384,1000,13896,0.84814453,0.10304346,16384,17383
ctx016k_req001,16k,16384,1000,50,16384,1000,11636,0.71020508,0.10631134,16384,17383
ctx016k_req001,16k,16384,1000,51,16384,1000,13121,0.80084229,0.10573157,16384,17383
ctx016k_req001,16k,16384,1000,52,16384,1000,13216,0.80664062,0.10253577,16384,17383
ctx016k_req001,16k,16384,1000,53,16384,1000,12522,0.76428223,0.10160834,16384,17383
ctx016k_req001,16k,16384,1000,54,16384,1000,11449,0.69879150,0.10356641,16384,17383
ctx016k_req001,16k,16384,1000,55,16384,1000,13967,0.85247803,0.10521295,16384,17383
ctx016k_req001,16k,16384,1000,56,16384,1000,12952,0.79052734,0.10180457,16384,17383
ctx016k_req001,16k,16384,1000,57,16384,1000,12209,0.74517822,0.10380121,16384,17383
ctx016k_req001,16k,16384,1000,58,16384,1000,11666,0.71203613,0.10133069,16384,17383
ctx016k_req001,16k,16384,1000,59,16384,1000,13389,0.81719971,0.10453741,16384,17383
ctx016k_req001,16k,16384,1000,60,16384,1000,10655,0.65032959,0.09855304,16384,17383
ctx016k_req002,16k,16384,1000,0,16384,1000,5594,0.34143066,0.12014807,16384,17383
ctx016k_req002,16k,16384,1000,1,16384,1000,11089,0.67681885,0.10558038,16384,17383
ctx016k_req002,16k,16384,1000,2,16384,1000,10537,0.64312744,0.09985223,16384,17383
ctx016k_req002,16k,16384,1000,3,16384,1000,6366,0.38854980,0.10835968,16384,17383
ctx016k_req002,16k,16384,1000,4,16384,1000,13666,0.83410645,0.10733282,16384,17383
ctx016k_req002,16k,16384,1000,5,16384,1000,7248,0.44238281,0.10252051,16384,17383
ctx016k_req002,16k,16384,1000,6,16384,1000,15362,0.93762207,0.10219611,16384,17383
ctx016k_req002,16k,16384,1000,7,16384,1000,14290,0.87219238,0.10166705,16384,17383
ctx016k_req002,16k,16384,1000,8,16384,1000,14346,0.87561035,0.09816064,16384,17383
ctx016k_req002,16k,16384,1000,9,16384,1000,11658,0.71154785,0.10666553,16384,17383
ctx016k_req002,16k,16384,1000,10,16384,1000,13540,0.82641602,0.10630359,16384,17383
ctx016k_req002,16k,16384,1000,11,16384,1000,15199,0.92767334,0.10704559,16384,17383
ctx016k_req002,16k,16384,1000,12,16384,1000,15372,0.93823242,0.10326105,16384,17383
ctx016k_req002,16k,16384,1000,13,16384,1000,12422,0.75817871,0.10268372,16384,17383
ctx016k_req002,16k,16384,1000,14,16384,1000,10203,0.62274170,0.10851947,16384,17383
ctx016k_req002,16k,16384,1000,15,16384,1000,12345,0.75347900,0.10820361,16384,17383
ctx016k_req002,16k,16384,1000,16,16384,1000,12748,0.77807617,0.10607538,16384,17383
ctx016k_req002,16k,16384,1000,17,16384,1000,15728,0.95996094,0.11040442,16384,17383
ctx016k_req002,16k,16384,1000,18,16384,1000,11841,0.72271729,0.10406519,16384,17383
ctx016k_req002,16k,16384,1000,19,16384,1000,13895,0.84808350,0.10676202,16384,17383
ctx016k_req002,16k,16384,1000,20,16384,1000,14380,0.87768555,0.10964978,16384,17383
ctx016k_req002,16k,16384,1000,21,16384,1000,13966,0.85241699,0.10977698,16384,17383
ctx016k_req002,16k,16384,1000,22,16384,1000,11260,0.68725586,0.10633191,16384,17383
ctx016k_req002,16k,16384,1000,23,16384,1000,10946,0.66809082,0.10794641,16384,17383
ctx016k_req002,16k,16384,1000,24,16384,1000,13185,0.80474854,0.11102045,16384,17383
ctx016k_req002,16k,16384,1000,25,16384,1000,11698,0.71398926,0.10684412,16384,17383
ctx016k_req002,16k,16384,1000,26,16384,1000,14067,0.85858154,0.11096094,16384,17383
ctx016k_req002,16k,16384,1000,27,16384,1000,14142,0.86315918,0.11183313,16384,17383
ctx016k_req002,16k,16384,1000,28,16384,1000,13438,0.82019043,0.10917645,16384,17383
ctx016k_req002,16k,16384,1000,29,16384,1000,14754,0.90051270,0.10936304,16384,17383
ctx016k_req002,16k,16384,1000,30,16384,1000,14267,0.87078857,0.10797009,16384,17383
ctx016k_req002,16k,16384,1000,31,16384,1000,13421,0.81915283,0.10939264,16384,17383
ctx016k_req002,16k,16384,1000,32,16384,1000,13336,0.81396484,0.10867194,16384,17383
ctx016k_req002,16k,16384,1000,33,16384,1000,14444,0.88159180,0.11029163,16384,17383
ctx016k_req002,16k,16384,1000,34,16384,1000,11341,0.69219971,0.10801111,16384,17383
ctx016k_req002,16k,16384,1000,35,16384,1000,13537,0.82623291,0.10920154,16384,17383
ctx016k_req002,16k,16384,1000,36,16384,1000,13185,0.80474854,0.10761224,16384,17383
ctx016k_req002,16k,16384,1000,37,16384,1000,12147,0.74139404,0.10659094,16384,17383
ctx016k_req002,16k,16384,1000,38,16384,1000,14225,0.86822510,0.10871399,16384,17383
ctx016k_req002,16k,16384,1000,39,16384,1000,14504,0.88525391,0.10910089,16384,17383
ctx016k_req002,16k,16384,1000,40,16384,1000,13488,0.82324219,0.10912646,16384,17383
ctx016k_req002,16k,16384,1000,41,16384,1000,11996,0.73217773,0.10752930,16384,17383
ctx016k_req002,16k,16384,1000,42,16384,1000,12791,0.78070068,0.10731909,16384,17383
ctx016k_req002,16k,16384,1000,43,16384,1000,13957,0.85186768,0.11064935,16384,17383
ctx016k_req002,16k,16384,1000,44,16384,1000,13292,0.81127930,0.10393982,16384,17383
ctx016k_req002,16k,16384,1000,45,16384,1000,14456,0.88232422,0.10745673,16384,17383
ctx016k_req002,16k,16384,1000,46,16384,1000,14020,0.85571289,0.11099530,16384,17383
ctx016k_req002,16k,16384,1000,47,16384,1000,10575,0.64544678,0.10707019,16384,17383
ctx016k_req002,16k,16384,1000,48,16384,1000,12375,0.75531006,0.10881305,16384,17383
ctx016k_req002,16k,16384,1000,49,16384,1000,14163,0.86444092,0.10683209,16384,17383
ctx016k_req002,16k,16384,1000,50,16384,1000,12252,0.74780273,0.10891376,16384,17383
ctx016k_req002,16k,16384,1000,51,16384,1000,13617,0.83111572,0.10771637,16384,17383
ctx016k_req002,16k,16384,1000,52,16384,1000,13723,0.83758545,0.10578992,16384,17383
ctx016k_req002,16k,16384,1000,53,16384,1000,12316,0.75170898,0.10400244,16384,17383
ctx016k_req002,16k,16384,1000,54,16384,1000,11541,0.70440674,0.10770978,16384,17383
ctx016k_req002,16k,16384,1000,55,16384,1000,14187,0.86590576,0.10758307,16384,17383
ctx016k_req002,16k,16384,1000,56,16384,1000,13703,0.83636475,0.10481427,16384,17383
ctx016k_req002,16k,16384,1000,57,16384,1000,12751,0.77825928,0.10722620,16384,17383
ctx016k_req002,16k,16384,1000,58,16384,1000,12076,0.73706055,0.10400146,16384,17383
ctx016k_req002,16k,16384,1000,59,16384,1000,13576,0.82861328,0.10710541,16384,17383
ctx016k_req002,16k,16384,1000,60,16384,1000,11399,0.69573975,0.10215594,16384,17383
ctx016k_req003,16k,16384,1000,0,16384,1000,5632,0.34375000,0.12018555,16384,17383
ctx016k_req003,16k,16384,1000,1,16384,1000,11237,0.68585205,0.10582715,16384,17383
ctx016k_req003,16k,16384,1000,2,16384,1000,10294,0.62829590,0.10069507,16384,17383
ctx016k_req003,16k,16384,1000,3,16384,1000,6060,0.36987305,0.10842957,16384,17383
ctx016k_req003,16k,16384,1000,4,16384,1000,12860,0.78491211,0.10695886,16384,17383
ctx016k_req003,16k,16384,1000,5,16384,1000,7538,0.46008301,0.10000671,16384,17383
ctx016k_req003,16k,16384,1000,6,16384,1000,15343,0.93646240,0.09890112,16384,17383
ctx016k_req003,16k,16384,1000,7,16384,1000,14499,0.88494873,0.09741553,16384,17383
ctx016k_req003,16k,16384,1000,8,16384,1000,14284,0.87182617,0.09666510,16384,17383
ctx016k_req003,16k,16384,1000,9,16384,1000,11026,0.67297363,0.09795306,16384,17383
ctx016k_req003,16k,16384,1000,10,16384,1000,13689,0.83551025,0.09929810,16384,17383
ctx016k_req003,16k,16384,1000,11,16384,1000,14751,0.90032959,0.10186499,16384,17383
ctx016k_req003,16k,16384,1000,12,16384,1000,15036,0.91772461,0.10132825,16384,17383
ctx016k_req003,16k,16384,1000,13,16384,1000,11771,0.71844482,0.09945709,16384,17383
ctx016k_req003,16k,16384,1000,14,16384,1000,10094,0.61608887,0.10216968,16384,17383
ctx016k_req003,16k,16384,1000,15,16384,1000,12099,0.73846436,0.10309406,16384,17383
ctx016k_req003,16k,16384,1000,16,16384,1000,12571,0.76727295,0.10065118,16384,17383
ctx016k_req003,16k,16384,1000,17,16384,1000,15971,0.97479248,0.10456909,16384,17383
ctx016k_req003,16k,16384,1000,18,16384,1000,11121,0.67877197,0.10028851,16384,17383
ctx016k_req003,16k,16384,1000,19,16384,1000,13354,0.81506348,0.10235785,16384,17383
ctx016k_req003,16k,16384,1000,20,16384,1000,13824,0.84375000,0.10337573,16384,17383
ctx016k_req003,16k,16384,1000,21,16384,1000,13581,0.82891846,0.10452692,16384,17383
ctx016k_req003,16k,16384,1000,22,16384,1000,10594,0.64660645,0.10102612,16384,17383
ctx016k_req003,16k,16384,1000,23,16384,1000,10261,0.62628174,0.10102710,16384,17383
ctx016k_req003,16k,16384,1000,24,16384,1000,11997,0.73223877,0.10393829,16384,17383
ctx016k_req003,16k,16384,1000,25,16384,1000,10074,0.61486816,0.10061292,16384,17383
ctx016k_req003,16k,16384,1000,26,16384,1000,13422,0.81921387,0.10363208,16384,17383
ctx016k_req003,16k,16384,1000,27,16384,1000,13456,0.82128906,0.10522180,16384,17383
ctx016k_req003,16k,16384,1000,28,16384,1000,12391,0.75628662,0.10287085,16384,17383
ctx016k_req003,16k,16384,1000,29,16384,1000,13821,0.84356689,0.10292950,16384,17383
ctx016k_req003,16k,16384,1000,30,16384,1000,13121,0.80084229,0.10234924,16384,17383
ctx016k_req003,16k,16384,1000,31,16384,1000,12470,0.76110840,0.10278064,16384,17383
ctx016k_req003,16k,16384,1000,32,16384,1000,12749,0.77813721,0.10297870,16384,17383
ctx016k_req003,16k,16384,1000,33,16384,1000,14054,0.85778809,0.10402661,16384,17383
ctx016k_req003,16k,16384,1000,34,16384,1000,10780,0.65795898,0.10159937,16384,17383
ctx016k_req003,16k,16384,1000,35,16384,1000,12955,0.79071045,0.10259705,16384,17383
ctx016k_req003,16k,16384,1000,36,16384,1000,12463,0.76068115,0.10305719,16384,17383
ctx016k_req003,16k,16384,1000,37,16384,1000,11991,0.73187256,0.10090961,16384,17383
ctx016k_req003,16k,16384,1000,38,16384,1000,13906,0.84875488,0.10355676,16384,17383
ctx016k_req003,16k,16384,1000,39,16384,1000,14297,0.87261963,0.10290948,16384,17383
ctx016k_req003,16k,16384,1000,40,16384,1000,12575,0.76751709,0.10250604,16384,17383
ctx016k_req003,16k,16384,1000,41,16384,1000,11388,0.69506836,0.10105640,16384,17383
ctx016k_req003,16k,16384,1000,42,16384,1000,11877,0.72491455,0.10293854,16384,17383
ctx016k_req003,16k,16384,1000,43,16384,1000,13201,0.80572510,0.10503693,16384,17383
ctx016k_req003,16k,16384,1000,44,16384,1000,12670,0.77331543,0.10022467,16384,17383
ctx016k_req003,16k,16384,1000,45,16384,1000,13462,0.82165527,0.10344855,16384,17383
ctx016k_req003,16k,16384,1000,46,16384,1000,13528,0.82568359,0.10622333,16384,17383
ctx016k_req003,16k,16384,1000,47,16384,1000,10095,0.61614990,0.10198840,16384,17383
ctx016k_req003,16k,16384,1000,48,16384,1000,12032,0.73437500,0.10342578,16384,17383
ctx016k_req003,16k,16384,1000,49,16384,1000,13741,0.83868408,0.10117078,16384,17383
ctx016k_req003,16k,16384,1000,50,16384,1000,11370,0.69396973,0.10405127,16384,17383
ctx016k_req003,16k,16384,1000,51,16384,1000,13392,0.81738281,0.10304449,16384,17383
ctx016k_req003,16k,16384,1000,52,16384,1000,13177,0.80426025,0.10033313,16384,17383
ctx016k_req003,16k,16384,1000,53,16384,1000,11566,0.70593262,0.09922675,16384,17383
ctx016k_req003,16k,16384,1000,54,16384,1000,10707,0.65350342,0.10189374,16384,17383
ctx016k_req003,16k,16384,1000,55,16384,1000,13548,0.82690430,0.10182544,16384,17383
ctx016k_req003,16k,16384,1000,56,16384,1000,13230,0.80749512,0.09928528,16384,17383
ctx016k_req003,16k,16384,1000,57,16384,1000,12326,0.75231934,0.10113977,16384,17383
ctx016k_req003,16k,16384,1000,58,16384,1000,11463,0.69964600,0.10022113,16384,17383
ctx016k_req003,16k,16384,1000,59,16384,1000,12709,0.77569580,0.10342670,16384,17383
ctx016k_req003,16k,16384,1000,60,16384,1000,10757,0.65655518,0.09778845,16384,17383
ctx016k_req004,16k,16384,1000,0,16384,1000,5498,0.33557129,0.12068182,16384,17383
ctx016k_req004,16k,16384,1000,1,16384,1000,11309,0.69024658,0.10553516,16384,17383
ctx016k_req004,16k,16384,1000,2,16384,1000,9390,0.57312012,0.09925598,16384,17383
ctx016k_req004,16k,16384,1000,3,16384,1000,5827,0.35565186,0.10903973,16384,17383
ctx016k_req004,16k,16384,1000,4,16384,1000,13333,0.81378174,0.10749341,16384,17383
ctx016k_req004,16k,16384,1000,5,16384,1000,7464,0.45556641,0.10112292,16384,17383
ctx016k_req004,16k,16384,1000,6,16384,1000,15302,0.93395996,0.10078485,16384,17383
ctx016k_req004,16k,16384,1000,7,16384,1000,14219,0.86785889,0.09927460,16384,17383
ctx016k_req004,16k,16384,1000,8,16384,1000,14024,0.85595703,0.09731329,16384,17383
ctx016k_req004,16k,16384,1000,9,16384,1000,11036,0.67358398,0.10000702,16384,17383
ctx016k_req004,16k,16384,1000,10,16384,1000,13247,0.80853271,0.10113232,16384,17383
ctx016k_req004,16k,16384,1000,11,16384,1000,14673,0.89556885,0.10333551,16384,17383
ctx016k_req004,16k,16384,1000,12,16384,1000,15061,0.91925049,0.10263898,16384,17383
ctx016k_req004,16k,16384,1000,13,16384,1000,11658,0.71154785,0.10099756,16384,17383
ctx016k_req004,16k,16384,1000,14,16384,1000,10259,0.62615967,0.10393085,16384,17383
ctx016k_req004,16k,16384,1000,15,16384,1000,11957,0.72979736,0.10488782,16384,17383
ctx016k_req004,16k,16384,1000,16,16384,1000,12347,0.75360107,0.10225653,16384,17383
ctx016k_req004,16k,16384,1000,17,16384,1000,16067,0.98065186,0.10729614,16384,17383
ctx016k_req004,16k,16384,1000,18,16384,1000,10866,0.66320801,0.10175287,16384,17383
ctx016k_req004,16k,16384,1000,19,16384,1000,13594,0.82971191,0.10358112,16384,17383
ctx016k_req004,16k,16384,1000,20,16384,1000,14170,0.86486816,0.10709589,16384,17383
ctx016k_req004,16k,16384,1000,21,16384,1000,13672,0.83447266,0.10767181,16384,17383
ctx016k_req004,16k,16384,1000,22,16384,1000,10664,0.65087891,0.10360852,16384,17383
ctx016k_req004,16k,16384,1000,23,16384,1000,10699,0.65301514,0.10422614,16384,17383
