length_label,target_prompt_len,layer_id,num_requests,mean_unique_kv_slots_used_decode_union,mean_kv_union_used_to_total_prompt,std_kv_union_used_to_total_prompt,p50_kv_union_used_to_total_prompt,p90_kv_union_used_to_total_prompt,mean_per_decode_step_used_to_total_prompt
16k,16384,0,16,5576.25000000,0.34034729,0.00498816,0.34063721,0.34375000,0.12069647
16k,16384,1,16,10956.00000000,0.66870117,0.01429549,0.67098999,0.68426514,0.10533751
16k,16384,2,16,9828.62500000,0.59989166,0.02152287,0.59609985,0.62512207,0.09936549
16k,16384,3,16,6156.18750000,0.37574387,0.01363630,0.37716675,0.38854980,0.10895853
16k,16384,4,16,13667.81250000,0.83421707,0.02255732,0.83935547,0.84832764,0.10747741
16k,16384,5,16,7342.31250000,0.44813919,0.02077044,0.45196533,0.46765137,0.10135667
16k,16384,6,16,15319.12500000,0.93500519,0.00427106,0.93545532,0.94018555,0.10064139
16k,16384,7,16,14026.93750000,0.85613632,0.01819147,0.86016846,0.87219238,0.09951642
16k,16384,8,16,14152.56250000,0.86380386,0.01393802,0.86294556,0.87628174,0.09755399
16k,16384,9,16,11610.87500000,0.70867157,0.02806741,0.71347046,0.73425293,0.10293864
16k,16384,10,16,13487.81250000,0.82323074,0.01361895,0.82409668,0.83923340,0.10331680
16k,16384,11,16,14964.00000000,0.91333008,0.01217136,0.91131592,0.92596436,0.10451665
16k,16384,12,16,15038.06250000,0.91785049,0.00999468,0.91711426,0.92663574,0.10265994
16k,16384,13,16,11878.37500000,0.72499847,0.01927004,0.72674561,0.74676514,0.10124648
16k,16384,14,16,10446.50000000,0.63760376,0.01973516,0.62951660,0.65277100,0.10483397
16k,16384,15,16,12113.87500000,0.73937225,0.02224175,0.74032593,0.75695801,0.10547633
16k,16384,16,16,12615.68750000,0.77000046,0.02735179,0.77255249,0.79711914,0.10271477
16k,16384,17,16,15920.62500000,0.97171784,0.00766886,0.97238159,0.97784424,0.10711526
16k,16384,18,16,11255.75000000,0.68699646,0.02352197,0.68643188,0.70654297,0.10131904
16k,16384,19,16,13462.31250000,0.82167435,0.02202175,0.82635498,0.84613037,0.10425375
16k,16384,20,16,14204.68750000,0.86698532,0.02208336,0.87246704,0.89068604,0.10664332
16k,16384,21,16,13509.50000000,0.82455444,0.02309994,0.82516479,0.85241699,0.10724093
16k,16384,22,16,10736.81250000,0.65532303,0.02464378,0.65411377,0.68646240,0.10373296
16k,16384,23,16,10748.68750000,0.65604782,0.02734872,0.65161132,0.69335938,0.10424657
16k,16384,24,16,12564.18750000,0.76685715,0.03222661,0.76687623,0.79876709,0.10780942
16k,16384,25,16,10929.81250000,0.66710281,0.02674273,0.66479493,0.69903564,0.10406659
16k,16384,26,16,13696.25000000,0.83595276,0.02309586,0.83615112,0.85858154,0.10777005
16k,16384,27,16,13578.93750000,0.82879257,0.02529750,0.82382202,0.86315918,0.10926019
16k,16384,28,16,12864.43750000,0.78518295,0.02714894,0.78225708,0.81909180,0.10653393
16k,16384,29,16,14176.56250000,0.86526871,0.02146750,0.86685181,0.88781738,0.10689833
16k,16384,30,16,13477.25000000,0.82258606,0.02531716,0.82296753,0.84747314,0.10596838
16k,16384,31,16,12697.81250000,0.77501297,0.03328555,0.76724243,0.81915283,0.10653608
16k,16384,32,16,12764.06250000,0.77905655,0.03247926,0.77700806,0.81396484,0.10629072
16k,16384,33,16,13996.43750000,0.85427475,0.03245034,0.85263062,0.88378906,0.10718156
16k,16384,34,16,10636.62500000,0.64920807,0.04802791,0.64422607,0.69219971,0.10545610
16k,16384,35,16,12857.93750000,0.78478622,0.03264738,0.77871704,0.82623291,0.10636665
16k,16384,36,16,12884.18750000,0.78638840,0.02335581,0.78784179,0.80474854,0.10493025
16k,16384,37,16,11685.31250000,0.71321487,0.03184824,0.72192382,0.74139404,0.10374672
16k,16384,38,16,13969.81250000,0.85264969,0.03248740,0.85256958,0.87951660,0.10604460
16k,16384,39,16,14403.87500000,0.87914276,0.02619117,0.88189698,0.89562988,0.10573570
16k,16384,40,16,12983.43750000,0.79244614,0.03317913,0.78991699,0.81860352,0.10578826
16k,16384,41,16,11370.68750000,0.69401169,0.03753986,0.69238281,0.73217773,0.10416695
16k,16384,42,16,12298.37500000,0.75063324,0.02961482,0.74765015,0.77349854,0.10485334
16k,16384,43,16,13410.00000000,0.81848144,0.02858692,0.81274414,0.85052490,0.10769286
16k,16384,44,16,12950.37500000,0.79042816,0.01777036,0.79171753,0.81127930,0.10149672
16k,16384,45,16,14164.31250000,0.86452103,0.02741882,0.87023925,0.88427734,0.10461400
16k,16384,46,16,13504.06250000,0.82422256,0.02784602,0.82290649,0.85406494,0.10775561
16k,16384,47,16,10183.18750000,0.62153244,0.02814802,0.61856079,0.64904785,0.10395257
16k,16384,48,16,12013.37500000,0.73323822,0.03977131,0.72833252,0.76715088,0.10555618
16k,16384,49,16,13928.56250000,0.85013199,0.02913165,0.85269165,0.86968994,0.10328754
16k,16384,50,16,11846.43750000,0.72304916,0.03849364,0.71490478,0.74859619,0.10582988
16k,16384,51,16,13054.37500000,0.79677582,0.02895356,0.80349731,0.82934570,0.10461467
16k,16384,52,16,13190.93750000,0.80511093,0.02828791,0.81072998,0.83599854,0.10243604
16k,16384,53,16,12187.81250000,0.74388504,0.02671100,0.75231933,0.76428223,0.10157189
16k,16384,54,16,11403.25000000,0.69599915,0.02764018,0.69808960,0.72351074,0.10338522
16k,16384,55,16,13865.93750000,0.84630966,0.02832113,0.85028076,0.87768555,0.10444962
16k,16384,56,16,13249.93750000,0.80871201,0.02612444,0.80899048,0.83996582,0.10174872
16k,16384,57,16,12170.81250000,0.74284744,0.02996685,0.75207519,0.76892090,0.10361021
16k,16384,58,16,11809.50000000,0.72079468,0.02473275,0.72283936,0.74505615,0.10202017
16k,16384,59,16,13289.93750000,0.81115341,0.02869556,0.81768799,0.83581543,0.10492642
16k,16384,60,16,10782.81250000,0.65813065,0.02352527,0.66278076,0.67797852,0.09950612
32k,32768,0,16,7960.43750000,0.24293327,0.00563516,0.24229431,0.25045776,0.06173599
32k,32768,1,16,12425.93750000,0.37920952,0.01721397,0.37994385,0.38821411,0.05417173
32k,32768,2,16,10936.68750000,0.33376122,0.01235480,0.33148193,0.34820557,0.05024914
32k,32768,3,16,6558.75000000,0.20015717,0.00704186,0.20011902,0.20779419,0.05587184
32k,32768,4,16,18409.62500000,0.56181717,0.04425125,0.57200622,0.58554077,0.05565530
32k,32768,5,16,7167.25000000,0.21872711,0.01095231,0.21868897,0.22885132,0.05110163
32k,32768,6,16,18423.56250000,0.56224251,0.01178206,0.56340027,0.56890869,0.05012022
32k,32768,7,16,15723.31250000,0.47983742,0.01085031,0.47789002,0.48635864,0.04951346
32k,32768,8,16,14687.25000000,0.44821930,0.00997386,0.44827270,0.45712280,0.04876946
32k,32768,9,16,13344.12500000,0.40723038,0.03805027,0.41093444,0.42889404,0.05121625
32k,32768,10,16,15032.93750000,0.45876885,0.01003834,0.45989990,0.46902466,0.05156072
32k,32768,11,16,21839.56250000,0.66649056,0.03546007,0.67337037,0.69955444,0.05204270
32k,32768,12,16,20094.87500000,0.61324692,0.01059666,0.61224365,0.62231445,0.05139035
32k,32768,13,16,13355.68750000,0.40758324,0.01578799,0.40771484,0.42227173,0.05057858
32k,32768,14,16,10932.06250000,0.33362007,0.01040308,0.33351135,0.34292603,0.05241155
32k,32768,15,16,16158.93750000,0.49313164,0.03977471,0.49806213,0.51889038,0.05280133
32k,32768,16,16,16575.75000000,0.50585175,0.03682029,0.51133728,0.53121948,0.05124658
32k,32768,17,16,29986.50000000,0.91511536,0.04189007,0.92703247,0.93994141,0.05394893
32k,32768,18,16,12383.87500000,0.37792587,0.02249471,0.38050842,0.39392090,0.05061155
32k,32768,19,16,17848.81250000,0.54470253,0.04310717,0.55867004,0.57534790,0.05181945
32k,32768,20,16,21099.56250000,0.64390755,0.04684700,0.65486145,0.68273926,0.05291777
32k,32768,21,16,18533.12500000,0.56558609,0.04375972,0.57728577,0.59252930,0.05325637
32k,32768,22,16,11534.18750000,0.35199547,0.01282071,0.35342408,0.36254883,0.05153081
32k,32768,23,16,14064.12500000,0.42920303,0.02537280,0.43104553,0.45236206,0.05166571
32k,32768,24,16,20177.50000000,0.61576843,0.04365797,0.61637878,0.64974976,0.05390088
32k,32768,25,16,13065.81250000,0.39873696,0.03341886,0.40255737,0.41558838,0.05199883
32k,32768,26,16,20619.31250000,0.62925148,0.04487715,0.63774109,0.64843750,0.05363792
32k,32768,27,16,19937.06250000,0.60843086,0.03857314,0.60649109,0.63473511,0.05454907
32k,32768,28,16,19907.81250000,0.60753822,0.05131526,0.60984802,0.64505005,0.05316415
32k,32768,29,16,23808.37500000,0.72657394,0.04525756,0.73291015,0.75500488,0.05359713
32k,32768,30,16,18623.68750000,0.56834984,0.04107840,0.56460572,0.60882568,0.05304158
32k,32768,31,16,18813.68750000,0.57414818,0.04231588,0.57176209,0.60662842,0.05342186
32k,32768,32,16,16715.18750000,0.51010704,0.04396524,0.50434875,0.56027222,0.05306792
32k,32768,33,16,21249.12500000,0.64847183,0.05126955,0.65832519,0.68878174,0.05338501
32k,32768,34,16,12596.00000000,0.38439941,0.03584888,0.38644409,0.41973877,0.05265704
32k,32768,35,16,17683.68750000,0.53966331,0.05166437,0.54113769,0.57418823,0.05309682
32k,32768,36,16,16789.75000000,0.51238251,0.03768049,0.51651001,0.53771973,0.05244012
32k,32768,37,16,13825.06250000,0.42190743,0.03182226,0.42338562,0.44598389,0.05185964
32k,32768,38,16,21952.75000000,0.66994476,0.06341365,0.68222046,0.71575928,0.05305600
32k,32768,39,16,23381.25000000,0.71353912,0.06208377,0.72825622,0.76422119,0.05266224
32k,32768,40,16,21119.62500000,0.64451980,0.03704750,0.64108276,0.68582153,0.05341797
32k,32768,41,16,17139.25000000,0.52304840,0.04885333,0.52896118,0.57254028,0.05255099
32k,32768,42,16,15787.37500000,0.48179245,0.03400646,0.48464966,0.51419067,0.05221372
32k,32768,43,16,21951.31250000,0.66990089,0.05134121,0.67695618,0.70547485,0.05399660
32k,32768,44,16,15667.31250000,0.47812843,0.00903730,0.47521972,0.48785400,0.05086624
32k,32768,45,16,20880.43750000,0.63722038,0.03851957,0.63761902,0.68334961,0.05233756
32k,32768,46,16,21391.25000000,0.65280914,0.04807261,0.65419006,0.69549561,0.05380817
32k,32768,47,16,12567.18750000,0.38352013,0.03235330,0.38534546,0.41442871,0.05182968
32k,32768,48,16,15931.00000000,0.48617554,0.03830965,0.48176575,0.53753662,0.05290663
32k,32768,49,16,21157.68750000,0.64568138,0.04551417,0.64898681,0.69470215,0.05166954
32k,32768,50,16,17114.25000000,0.52228546,0.04591566,0.53088379,0.55972290,0.05279825
32k,32768,51,16,17769.18750000,0.54227257,0.05123082,0.54980469,0.57818604,0.05231734
